,SPCD,DO_BH,HT_TOT,TT_DW_CRM
122506,131,7.0,56.2,223.32
36529,121,10.3,55.0,596.96
51679,731,5.2,47.0,137.75
96365,105,8.2,38.0,174.93
122233,404,11.0,79.1,1021.9
14226,400,6.4,45.0,194.1
24781,802,16.8,86.0,2540.57
124101,131,9.8,79.4,652.16
126974,98,20.8,116.0,2948.41
43287,111,5.8,48.0,136.35
24046,653,12.2,77.2,862.35
95827,105,3.5,29.9,24.05
76740,202,13.2,91.6,1296.16
37875,111,5.6,38.0,92.41
3977,12,10.9,68.0,552.02
124009,131,5.1,38.1,62.07
136835,131,6.5,57.4,193.31
68526,110,5.9,36.0,96.19
72162,316,11.4,54.0,599.35
47562,611,2.2,20.0,10.08
36125,800,2.4,16.0,22.44
108712,122,38.0,111.0,12721.37
115353,746,1.3,20.1,3.02
17402,121,18.1,86.0,2860.8
41188,111,7.9,61.0,361.81
75780,806,6.0,52.0,249.14
67299,611,5.4,38.0,68.97
44174,128,10.1,41.0,415.41
17348,121,10.8,69.0,821.14
62937,131,3.9,36.0,36.36
74558,400,8.4,55.0,427.35
46088,110,16.8,73.0,1874.95
36338,111,8.0,74.0,455.29
83430,242,16.5,71.0,1020.77
110695,68,9.5,37.4,297.35
27451,833,8.8,73.3,656.05
131192,543,6.3,52.7,157.44
133062,951,24.1,103.5,3873.16
55343,400,14.3,64.0,1415.19
58338,999,18.9,42.0,1233.99
55081,835,10.7,55.0,709.15
21667,131,15.3,63.2,1287.97
118072,131,6.1,35.5,93.77
99870,621,7.8,58.0,267.68
104912,111,6.5,56.0,214.11
109405,316,6.0,52.0,175.24
112129,131,2.4,27.2,11.24
83089,242,10.4,52.0,315.36
95820,105,3.6,32.8,25.74
26171,111,8.5,67.5,470.1
15176,833,1.0,18.0,2.4
34402,111,12.4,68.0,1023.71
35149,111,13.3,78.0,1349.2
66823,970,5.7,52.0,174.89
102639,117,10.0,40.6,255.94
80130,316,16.6,84.0,1953.22
33394,746,11.7,60.8,654.58
7886,318,19.5,75.1,3867.85
44127,694,4.4,24.0,62.64
30974,802,18.4,88.9,3118.66
118398,121,4.7,58.0,67.91
114664,125,12.2,61.0,729.35
98932,693,8.2,48.8,318.92
87093,95,4.7,35.9,57.22
31057,835,16.6,73.5,2106.8
105710,131,6.8,60.0,224.84
31349,122,4.9,23.0,38.54
127186,131,7.8,54.1,272.44
100323,93,4.4,29.8,37.34
6631,97,12.0,60.5,647.95
107086,122,14.3,34.4,539.86
72266,832,1.6,16.0,6.64
65119,611,7.4,55.0,245.69
65314,832,6.3,43.0,189.33
2312,375,10.0,67.5,752.67
97181,950,19.6,90.0,1978.44
60189,128,10.7,61.0,668.25
23002,370,12.7,72.0,1002.13
23539,802,15.5,93.7,2373.07
14313,221,5.8,39.0,131.08
78962,122,8.3,31.0,153.77
124659,611,10.2,54.4,469.68
95471,371,4.8,33.5,95.84
36960,820,25.1,73.0,4290.57
24716,611,13.7,94.0,1455.37
110869,68,4.7,28.2,51.51
42966,121,6.9,50.0,224.7
92665,94,16.7,53.7,1044.53
80856,746,13.6,66.3,838.52
57468,621,13.8,68.0,928.1
89925,743,8.7,52.2,293.68
111005,125,5.9,34.4,107.88
37382,800,5.1,29.0,78.59
28662,111,15.4,94.5,2184.86
5500,318,15.7,61.4,2176.39
123789,131,7.1,53.3,217.56
131643,122,12.8,54.7,741.68
125694,131,4.7,47.0,57.16
63549,806,1.0,12.0,2.33
6558,97,9.6,50.5,390.78
26642,129,8.6,65.6,334.54
65874,131,6.9,47.0,177.29
34653,222,16.2,80.0,1527.51
22143,316,23.4,88.7,3623.56
63677,611,10.7,63.0,602.94
84928,93,12.1,61.7,644.63
123055,131,6.1,70.0,209.03
604,316,9.9,64.3,578.71
90581,972,12.8,73.8,892.18
126968,98,18.7,109.0,2260.92
118876,837,13.6,93.5,1670.15
47626,131,1.8,15.0,5.63
17516,121,8.8,47.0,363.74
126438,131,15.3,87.6,1766.19
114202,131,2.6,25.7,13.63
55249,825,17.1,84.0,2595.39
25922,835,11.4,67.1,962.94
92768,105,5.9,28.0,74.08
106083,842,2.8,23.0,29.56
131076,833,8.4,65.6,479.24
20636,812,9.0,61.3,517.98
92269,110,16.0,61.1,1424.6
95318,129,3.8,36.1,32.77
67075,131,5.6,55.0,129.38
4074,97,19.4,73.0,2037.31
109577,93,17.0,74.3,1404.67
8742,318,16.0,80.7,2742.98
8084,371,17.1,72.9,2682.04
122861,802,15.5,73.7,1608.06
42847,693,1.2,17.0,2.53
56755,833,24.6,101.0,5928.9
135099,202,12.4,80.0,1095.5
35189,111,5.7,32.0,76.89
96310,125,12.3,86.0,867.71
34099,111,5.3,41.0,87.84
106640,122,39.1,98.3,11978.69
44615,115,21.5,94.0,3490.52
40025,121,14.3,68.0,1422.35
57575,621,14.4,104.0,1510.9
85218,19,11.1,75.0,617.95
125262,15,10.2,65.4,464.56
100068,122,2.4,20.0,7.05
58780,611,17.0,87.0,2038.2
44341,111,8.6,62.0,441.17
73063,832,9.9,59.0,628.37
67013,531,8.8,63.0,507.85
2489,375,10.7,70.5,820.97
64915,131,13.0,68.0,993.89
3489,12,9.1,57.0,315.14
30012,652,11.4,64.5,697.89
112510,111,3.0,29.0,22.79
14593,611,6.8,58.0,218.12
1087,202,2.5,15.5,12.48
8178,318,16.5,87.1,3056.75
81042,105,6.6,48.1,151.88
77203,122,13.6,76.0,1185.46
45409,111,8.0,50.0,301.02
105074,111,10.0,85.0,826.21
90858,105,6.4,50.9,124.37
94298,809,7.3,37.0,221.39
114080,131,6.4,30.0,86.23
53640,110,9.5,48.0,387.45
106604,122,27.1,94.9,5552.89
129591,202,13.1,92.0,1393.31
95186,105,4.2,30.2,37.36
84652,740,14.5,84.4,1262.14
66781,131,19.9,82.0,2809.16
116498,611,21.9,123.5,4700.69
46906,611,1.6,18.0,4.6
5918,543,14.8,82.1,1814.2
117190,263,10.9,67.5,736.54
59391,111,5.0,30.0,45.5
96703,371,13.4,77.6,1218.7
91440,746,10.4,78.4,538.88
135347,202,5.6,56.0,127.38
79033,119,11.4,101.0,966.78
82984,42,24.6,89.4,3812.06
41442,653,1.2,13.0,2.4
114505,119,5.1,44.1,68.15
117901,332,18.9,96.5,2051.49
32000,131,18.2,96.7,2753.16
117614,361,2.7,22.1,21.27
49776,621,21.2,83.0,2518.38
32109,131,3.4,37.6,26.08
31023,831,18.4,92.1,3073.94
67712,131,10.7,62.0,610.34
67070,970,8.8,50.0,370.67
87065,121,1.4,11.8,3.59
120746,131,5.1,49.0,87.97
136882,131,11.5,56.2,642.48
37020,111,13.5,57.0,1023.69
99517,91,11.4,81.9,631.21
109966,602,19.0,78.7,2066.75
9178,541,6.6,68.0,322.14
126636,132,10.9,64.0,694.47
24471,131,23.1,81.5,3768.16
83719,98,23.6,151.0,4957.93
114647,125,15.0,89.0,1377.21
39117,131,16.1,51.0,1163.63
40601,111,8.4,64.0,433.8
74833,802,8.9,42.0,423.31
107636,122,36.4,89.5,9478.83
26969,621,10.1,90.5,694.58
58551,833,11.4,48.0,708.89
45027,111,6.9,41.0,172.61
245,125,10.8,63.8,501.63
4389,318,5.0,52.0,103.01
1013,951,17.8,104.0,2290.06
59513,131,16.2,60.0,1375.75
111273,12,4.8,43.0,55.01
126966,98,27.7,120.0,5285.45
24820,132,12.2,84.0,1115.26
36811,111,5.1,32.0,54.28
74840,825,8.1,32.0,275.32
11724,110,7.8,48.0,254.0
128044,131,4.3,29.2,46.07
97482,105,8.9,65.1,372.85
49251,131,2.1,29.0,8.15
21739,832,16.0,88.4,2306.35
134723,202,21.8,116.5,4311.18
18870,222,12.0,62.0,688.52
39001,107,3.1,20.0,26.82
65850,131,13.3,63.0,966.48
68286,832,6.3,41.0,179.66
88945,125,10.8,55.7,460.22
32144,131,2.4,28.7,11.24
67521,131,6.4,41.0,126.51
2265,540,2.5,32.0,17.08
119760,711,9.3,42.1,333.99
43845,400,17.3,72.0,2305.24
56675,762,17.7,85.0,2175.93
32520,202,37.5,133.9,12382.88
81615,129,13.0,87.0,952.13
53123,611,11.1,56.0,575.93
63639,131,6.5,49.0,161.62
99640,807,4.7,13.8,96.09
9309,17,11.6,66.0,652.08
89954,743,10.0,89.3,577.26
104352,81,17.3,71.5,1079.84
97952,211,23.5,131.2,3802.69
41257,838,1.4,14.0,4.83
30751,833,17.4,66.6,2060.61
1569,131,9.2,64.0,461.42
11370,131,4.0,24.4,38.66
19334,131,23.2,81.5,3801.01
101812,108,2.1,19.7,9.23
85919,93,17.9,93.0,1989.5
79129,110,15.4,104.0,2220.75
35560,820,1.1,25.0,2.91
116141,313,9.8,59.1,426.21
4836,371,18.9,80.8,3512.11
101911,263,4.3,24.8,45.73
50876,128,4.8,32.0,77.77
35099,111,7.4,51.0,258.74
61038,813,16.4,65.0,1973.7
103137,122,18.4,83.5,2040.22
106432,122,14.5,53.2,838.99
85276,108,7.0,52.6,214.55
104541,117,6.5,18.1,53.71
120226,131,10.4,88.5,819.84
110865,68,9.3,40.9,282.06
104030,122,17.8,69.2,1594.29
84144,740,11.5,62.5,596.35
12565,131,6.8,57.4,214.15
54644,132,10.5,66.0,665.05
120577,131,17.2,110.1,2789.06
78936,122,18.1,68.0,1662.72
55725,540,26.7,90.0,5370.19
7893,318,13.4,77.6,1886.08
15219,901,13.5,73.0,1181.79
19233,611,14.9,83.6,1520.25
105425,131,2.1,18.0,8.15
10904,131,7.4,49.2,218.83
130496,693,6.3,41.2,120.57
28200,110,10.8,79.4,834.19
41434,653,1.9,20.0,7.4
48615,802,2.7,34.0,24.9
98857,693,16.3,80.5,1905.87
