,SPCD,DO_BH,HT_TOT,TT_DW_CRM
57687,110,6.7,42.0,156.47
65093,694,11.8,60.0,718.88
84535,202,19.6,79.0,2889.64
8658,541,17.5,90.0,3117.1
94390,833,12.4,75.8,1073.87
51300,128,15.0,78.0,1626.44
34423,111,12.4,71.3,1072.5
106320,122,17.8,82.9,1947.08
126910,316,2.8,32.1,25.43
99391,131,13.9,87.8,1459.73
37247,107,8.9,56.0,450.39
101130,242,4.5,30.3,51.56
17327,121,15.6,72.0,1789.58
68427,832,5.2,45.0,135.33
87828,15,5.7,39.8,64.31
119191,531,10.0,54.6,559.68
111185,125,5.7,30.2,87.42
108609,122,16.6,91.8,1868.14
36211,111,6.0,34.0,96.46
89114,125,8.7,50.2,291.96
87230,122,7.2,42.9,145.65
131115,71,13.6,73.7,1126.1
115572,746,6.1,62.0,162.31
132891,531,10.7,56.3,748.06
104948,111,9.0,65.0,508.74
45120,820,1.0,13.0,2.33
56942,330,8.1,30.0,128.8
60394,694,20.5,60.0,1938.3
47727,111,9.0,56.0,437.45
15602,611,9.3,99.0,735.4
7052,97,6.2,44.5,139.26
123606,131,15.3,80.5,1627.03
4971,371,19.6,80.0,3739.38
119611,832,12.0,84.6,1286.42
8479,318,15.2,83.3,2521.92
128367,122,27.5,132.5,6912.88
100681,263,2.8,32.2,15.92
129505,202,9.2,96.0,743.3
37987,820,5.2,42.0,128.43
79094,110,14.4,80.0,1502.34
94261,802,16.3,67.1,1789.41
73201,110,11.5,49.0,589.02
74042,621,5.4,52.0,112.71
15939,611,6.1,50.0,142.11
11979,131,12.2,76.2,976.82
39985,111,5.7,37.0,93.66
26131,837,13.8,67.3,1237.75
41031,111,7.1,47.0,215.33
9929,111,6.2,66.0,231.38
23444,131,16.5,82.4,1937.07
31190,15,7.8,44.0,194.72
119245,316,8.0,66.2,381.22
93021,125,5.0,48.1,64.87
45637,111,11.9,76.0,1050.92
87888,122,4.1,24.1,25.13
78021,122,15.2,58.0,1087.9
58948,691,18.5,89.2,2262.05
81194,743,13.3,58.2,720.31
100006,621,17.6,106.0,2241.26
19356,541,6.1,70.0,281.0
136494,832,9.8,59.7,660.22
127438,131,5.6,47.9,109.24
11232,131,8.6,77.5,488.21
28496,812,16.3,80.8,2071.26
92842,105,6.0,47.7,117.0
98608,837,15.1,76.4,1973.82
86657,93,9.4,52.0,319.28
45808,111,7.2,57.0,274.8
34188,694,6.4,34.0,118.42
35134,800,1.1,11.0,3.38
98450,901,8.0,55.6,400.67
110827,110,14.5,68.3,1106.19
37155,694,12.8,67.0,914.04
134601,202,19.5,105.1,3214.3
116962,131,14.1,72.0,1238.43
30220,131,24.1,82.9,4170.28
110617,68,6.8,23.7,129.7
124397,611,17.4,104.2,2549.55
125685,131,6.8,52.6,194.4
97441,950,26.1,97.0,3706.95
43272,111,2.3,18.0,11.95
126280,131,24.1,78.4,3954.38
9755,122,1.8,14.6,3.62
56504,129,5.4,34.0,72.94
28001,107,9.4,59.6,522.04
105897,832,11.1,62.7,829.35
85225,19,7.1,47.0,149.27
55000,400,9.5,62.0,617.89
44681,111,10.8,77.0,874.95
32702,108,9.4,80.4,546.62
121434,131,11.5,67.0,763.52
55183,400,12.0,84.0,1327.0
79028,119,12.0,78.0,835.44
99885,621,22.2,120.0,3934.63
102258,15,16.3,64.5,1147.35
35106,121,7.4,48.0,252.29
54416,131,14.5,85.0,1539.72
90542,951,8.4,62.7,215.26
89479,316,21.7,77.1,2512.21
25683,611,22.8,100.3,4137.77
59558,131,18.7,74.0,2246.58
64961,131,11.2,40.0,436.07
88111,462,18.7,90.3,2130.0
88985,125,5.3,32.7,70.17
135016,202,13.5,108.0,1724.78
118260,212,88.2,222.9,79876.93
36664,111,16.1,76.0,1931.79
66047,316,6.9,32.0,142.13
14622,611,17.9,88.2,2282.06
26908,129,15.0,90.5,1280.76
7890,318,12.3,40.6,1019.23
30047,731,17.0,91.1,1869.64
48981,131,1.8,18.0,5.63
100484,71,1.9,20.2,6.86
79930,837,8.6,51.3,491.27
48000,111,6.1,39.0,119.97
94109,746,9.8,72.0,436.41
119358,693,12.7,51.9,680.09
20986,131,16.1,79.2,1774.52
60296,131,6.7,41.0,141.53
43588,111,11.0,55.0,650.63
88596,105,5.4,32.2,76.11
96596,129,13.7,100.0,1134.97
49636,621,20.9,107.0,3134.93
100991,19,3.9,29.9,32.7
96793,371,12.6,74.8,1207.7
10521,131,3.3,22.0,24.26
519,125,6.4,67.4,183.82
121158,131,21.3,83.1,3261.58
123116,802,9.3,71.0,746.28
99215,318,14.3,79.8,1915.75
42110,800,8.6,44.0,354.82
62285,611,15.0,92.0,1694.18
111887,94,2.2,21.7,9.98
4492,531,5.8,50.0,149.16
3798,12,8.0,49.0,238.65
54185,131,6.9,48.0,181.52
13401,591,1.7,25.0,6.54
89731,375,7.6,66.6,347.89
120021,68,10.8,45.4,453.55
23491,221,17.0,106.3,2262.63
12786,131,4.4,30.4,48.71
86726,122,8.0,23.0,107.8
5120,531,15.1,79.0,2442.0
896,762,20.4,97.6,3980.14
105854,491,1.5,18.2,4.8
