SPCD,DO_BH,HT_TOT,TT_DW_CRM
241,10.5,48.4,326.59
241,5.6,35.9,69.17
241,5.6,42.2,75.35
241,5.7,43.5,77.99
241,5.7,46.4,72.48
241,6.1,47.5,109.85
241,6.3,48.2,105.37
241,6.4,49.9,119.91
241,6.4,35.7,90.39
241,7.1,50.9,154.9
241,7.3,43.1,133.7
241,7.3,47.9,147.01
241,7.4,47.5,165.84
241,7.5,40.4,150.45
241,8.8,45,231.22
241,9.4,48.5,277.86
241,9.5,50.9,298.18
241,10.5,55.5,383.04
241,12.2,57.5,481.41
94,6.4,41.5,117.02
105,11.6,82.8,738.89
105,13.9,77,1052.12
105,8.9,71.9,348.36
105,10.6,74.8,552.49
105,10.8,78.2,602.37
105,11.6,80.4,710.99
125,8.9,71.8,396.84
125,9.2,77.3,454.78
125,10.5,78.8,596.88
125,12.4,76.6,828.55
125,13.9,80.1,1050.33
125,14,75.5,973.91
125,16,77.1,1296.83
125,6.5,70.7,193.16
125,6.9,66.8,211.8
125,8,78.9,332.63
125,8.2,71.2,274.6
125,8.5,79.9,390.22
125,9.3,77.4,462.23
125,10.7,73.2,586.62
125,11,85.2,684.57
125,11.6,80.4,728.36
125,11.9,77.8,737.06
125,12,84.4,800.57
125,12.5,80.4,857.9
125,12.6,79.9,871.51
125,12.7,85.6,907.23
125,13.5,81.8,992
125,16.4,83.5,1469.43
316,9.9,64.3,578.71
318,5.7,58.4,214.53
318,6.1,53.2,253.01
318,7.4,65.7,417.74
318,10.3,64.5,699.9
318,12,74,1044.62
318,5,45.8,97.75
318,5.1,43.6,121.5
318,5.8,63.3,241.97
318,7,74,354.95
318,7.6,66.2,378.41
318,7.9,48.1,256.64
318,8.3,69.5,474.1
318,8.9,67.9,572.59
318,10.9,73.2,950.58
318,12.3,74.1,1175.96
318,14.2,67.4,1315.2
125,10.6,60.2,447.63
125,11.9,61.9,602.07
125,5.8,48.9,124.27
125,8.1,66,308.03
125,10.4,65.5,501.92
125,10.5,58.8,433.75
125,12.1,59.8,597.04
125,13.2,53.5,643.95
95,10.2,66,457.97
95,8.1,51.2,231.8
95,6.7,60,182.92
95,8.3,57.3,298.19
95,8.5,60.5,311.09
125,9,62.9,383.52
125,10.6,71.2,593.76
125,11.2,66.9,607.95
125,11.5,74.9,665.29
125,12,69.3,706.68
125,12.5,74.1,780.58
125,12.9,74.8,840.51
125,10,66.9,476.23
125,10.5,72,550.02
125,10.6,77.8,598.29
125,10.6,71.8,568.81
125,10.6,69.2,543.94
125,11.1,73.8,639.18
125,11.1,71.9,607.85
125,11.5,64,598.77
125,11.5,71.9,668.42
125,11.6,71.8,658.96
125,11.8,71.8,699.58
125,12.2,77.5,792.99
125,13,75.2,881.24
125,13.3,73.9,899.2
125,13.8,76.6,986.71
105,4.9,32.3,54.24
105,5.7,53.2,100.68
105,6.3,62.2,151.07
105,6.6,65.6,149.21
105,6.9,66.6,206.07
105,7.5,63.5,246.38
105,7.6,63.6,223.19
105,7.9,62.4,269.54
105,8,53.1,236.35
105,8.2,59.1,276.48
105,8.6,67.6,342.15
105,8.7,64,335.48
105,6,62.3,146.01
105,6.1,59.6,139.61
105,6.3,64.2,158.83
105,6.6,63.6,175.07
105,6.6,63.5,184.58
105,7.2,57.6,199.55
105,7.4,62.5,237.45
105,7.5,67.9,249.59
105,7.9,59,249.52
105,7.9,62.3,274.69
105,7.9,55.6,244.89
105,8,62,290.98
105,8.1,69.2,279.42
105,8.2,64.9,296.8
105,8.3,68.9,317.53
105,8.4,65.5,310.56
105,8.5,61.2,292.15
105,8.6,70.4,355.08
105,8.7,72.7,361.92
125,5.1,27.9,51.88
125,5.2,36.5,68.69
125,6.6,35.5,128.51
125,11.3,67.6,581.86
125,5.3,42.2,80.83
125,5.8,40.5,104.06
125,7.4,39.2,170.11
125,7.4,63.3,240.56
125,7.9,63.4,293.19
125,8,46.3,227.8
125,9,55,324.17
125,9.2,63.1,382.59
125,9.7,62.3,420.77
125,10.2,59.8,454.92
125,10.5,50.4,433.02
125,11.3,56.3,515.68
125,11.7,68.8,663.5
125,12.3,62.1,675.49
105,7.3,37.6,144.2
105,7.8,42.5,173.14
105,7.9,45.7,168.77
105,11,50.9,472.26
105,5.9,39.4,99.11
105,7,41.7,149.22
105,7.2,44.4,159.37
105,7.5,44.9,173.95
105,7.6,44.7,196.53
105,7.8,44.1,178.77
105,7.9,34.5,171.21
105,8.1,48.2,221.12
105,8.5,47.2,239.28
105,8.6,42.9,206.7
105,8.6,37.4,224.39
105,9.2,42.8,236.38
105,9.6,48.9,307.18
105,9.8,47.5,314.96
105,10,42.8,292.59
316,12.9,72.9,943.51
316,17.6,82,2095.27
316,26.7,82,4665.11
316,9,72.1,518.68
316,11.1,73.5,717.22
318,11.2,71.2,832.16
531,18.2,85,2529.56
531,15,74.8,1668.49
